brand_name,years_in_market,audience_reach,market_share,type_of_brand,reviews,sentiment_score,seo_score
QuantumNet,30,2333972.0,15.55,Telecom,3.0,-64.0,97
PioneerDigital,11,559091.0,17.11,IT,5.0,71.0,90
ZenGlobal,39,140336.0,18.95,Manufacturing,3.0,-82.0,46
NovaEdge,37,2582358.0,4.03,IT,2.0,-38.0,70
HorizonNet,15,564472.0,0.37,Healthcare,3.0,-42.0,74
ZenFoods,40,4424962.0,13.02,Tourism,1.0,21.0,9
RadiantNet,35,2789445.0,0.97,Education,2.0,68.0,43
EverestLabs,32,4593913.0,12.12,Consulting,2.0,18.0,64
BeaconWorks,35,778101.0,15.98,Healthcare,2.0,-88.0,100
PulseRetail,18,3416295.0,4.28,Logistics,5.0,-5.0,39
EverestCore,30,644101.0,3.23,Education,1.0,-37.0,92
ZenMedia,23,384567.0,9.17,Energy,1.0,72.0,65
PioneerEdge,25,1155452.0,17.0,Media,5.0,-39.0,98
OrbitCore,29,773837.0,17.52,Logistics,2.0,-5.0,11
AtlasPoint,11,719481.0,12.19,IT,4.0,94.0,89
FusionFoods,4,1579694.0,10.18,Logistics,1.0,85.0,3
PioneerLogics,40,3977681.0,11.58,Education,4.0,-22.0,48
EverestLogics,10,4376980.0,2.99,Telecom,4.0,-17.0,27
PioneerTravel,1,4166259.0,18.97,Logistics,5.0,0.0,42
SummitMedia,35,4473643.0,15.34,Fintech,2.0,-64.0,93
NimbusHub,9,3393605.0,4.29,Tourism,3.0,63.0,7
EverestEdge,23,382238.0,15.27,Media,4.0,-14.0,92
AuroraNet,26,1340887.0,12.43,Healthcare,1.0,46.0,54
NexusSystems,10,4086601.0,2.91,Hospitality,2.0,36.0,16
VelocityZone,12,4380055.0,12.48,Logistics,5.0,36.0,62
AuroraTech,15,894684.0,1.71,Energy,3.0,-58.0,85
NimbusTravel,29,2810581.0,13.55,Retail,4.0,-41.0,56
ApexNet,14,3048647.0,12.56,Ecommerce,5.0,-9.0,43
BeaconMedia,10,2636683.0,9.95,Media,3.0,-24.0,81
ZenTravel,32,4860940.0,15.7,Consulting,5.0,-65.0,33
SummitGlobal,21,47214.0,3.56,Hospitality,4.0,-73.0,100
ZenGlobal,5,1773453.0,13.28,Media,1.0,97.0,27
ApexLogics,29,4002792.0,12.79,Consulting,5.0,30.0,21
NimbusPoint,17,2943743.0,0.8,Hospitality,3.0,-50.0,15
PulseCore,9,1421093.0,11.72,Fintech,3.0,42.0,99
ApexHealth,22,2609090.0,2.56,IT,1.0,58.0,85
OrbitLink,31,3409774.0,1.77,Tourism,2.0,-81.0,33
VertexHub,4,356346.0,19.61,Logistics,3.0,78.0,48
VertexHealth,5,4412857.0,11.57,Energy,2.0,80.0,18
VertexNet,20,2696159.0,13.68,Media,1.0,7.0,8
VelocityLink,19,4048068.0,0.35,Logistics,1.0,-13.0,4
ZenFoods,35,1078308.0,11.19,Fintech,3.0,37.0,34
HorizonHealth,25,173422.0,17.23,Manufacturing,2.0,-1.0,84
